FD,Family,Type,Laddr,Raddr,Status,Pid,Uids
0,AF_UNIX,UCP,"{
 ""ip"": ""queue/alerts/cfgaq"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""/run/systemd/io.systemd.sysext"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""queue/sockets/download"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""queue/sockets/wmodules"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""queue/sockets/control"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""queue/sockets/updater-ondemand"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
12,AF_UNIX,TCP,"{
 ""ip"": ""/run/user/1000/gvfsd/socket-wZfc6NtM"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,28640,"[
 1000,
 1000,
 1000,
 1000
]"
0,AF_UNIX,TCP,"{
 ""ip"": ""/run/avahi-daemon/socket"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""/run/cups/cups.sock"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""/run/ssh-unix-local/socket"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""/run/.heim_org.h5l.kcm-socket"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""/run/systemd/io.systemd.Hostname"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""@92bdda44d312eeb6/bus/dbus-broker-lau/system"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
11,AF_UNIX,TCP,"{
 ""ip"": ""@/tmp/.ICE-unix/2916"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,2916,"[
 1000,
 1000,
 1000,
 1000
]"
11,AF_UNIX,TCP,"{
 ""ip"": ""@4c66e5db3185c8f6/bus/dbus-broker-lau/user"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,2849,"[
 1000,
 1000,
 1000,
 1000
]"
0,AF_UNIX,TCP,"{
 ""ip"": ""@ISCSID_UIP_ABSTRACT_NAMESPACE"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""@8157ccab6f39d502/bus/systemd/bus-system"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""@e48002e2b5f1a7a6/bus/systemd-logind/system"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
11,AF_UNIX,TCP,"{
 ""ip"": ""@5720fe7e19637c08/bus/dbus-broker-lau/user"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,2994,"[
 1000,
 1000,
 1000,
 1000
]"
0,AF_UNIX,TCP,"{
 ""ip"": ""@28937b80823df186/bus/systemd/bus-api-system"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""@ISCSIADM_ABSTRACT_NAMESPACE"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
0,AF_UNIX,TCP,"{
 ""ip"": ""@ef5f0422921d49dc/bus/systemd/bus-api-user"",
 ""port"": 0
}","{
 ""ip"": """",
 ""port"": 0
}",NONE,0,[]
